code,name,origin,packing,unit,category,subcategory,brand,tags
122,Doritos Chips Sweet Chili Pepper 180g,KSA / USA / India,Various sizes,PKT,Snacks & Confectionery,Chips & Crisps,Doritos,
123,Blossom Jasmine Rice 5kg,Vietnam,5KGx2BAG,BAG,Sugar & Essentials,Grains & Noodles,Blossom,bulk
124,White Egg Large 30x12 Tray,Iran / India,30PCSx12TR,CRTN,Sugar & Essentials,Eggs,ARCO Food Service,
125,Brown Egg Large 30x12 Tray,Iran / India,30PCSx12TR,CRTN,Sugar & Essentials,Eggs,ARCO Food Service,
126,Fresh White Egg Large 30x12 Tray,Qatar,30PCSx12TR,CRTN,Sugar & Essentials,Eggs,ARCO Food Service,local
127,Fresh Brown Egg Large 30x12 Tray,Qatar,30PCSx12TR,CRTN,Sugar & Essentials,Eggs,ARCO Food Service,local;horeca
128,Amul Ghee Pure 1L,India,1LTRx12PCS,CRTN,Oils & Ghee,Ghee,Amul,bestseller
129,Mazzarty Natural Butter Unsalted 400g,Qatar,400GM*12PCS,PCS,Dairy & Chilled,Butter,Mazzarty,local;chilled
130,Anchor Butter Unsalted,New Zealand,Various sizes,CRTN,Dairy & Chilled,Butter,Anchor,chilled
131,Lurpak Butter Unsalted 500g,Denmark,500GM*20PCS,CRTN,Dairy & Chilled,Butter,Lurpak,chilled
132,Amul Unsalted Frozen Butter 500g,India,500GMx20PCS,CRTN,Dairy & Chilled,Butter,Amul,chilled
133,RKG Classic Pure Cow Ghee 500g,India,500GMx20PCS,CRTN,Oils & Ghee,Ghee,RKG,
134,Mantova EVOO Extra Virgin Olive Oil Spray Chili 250ml,Italy,250ML*1PCS,PCS,Oils & Ghee,Cooking Oils,Mantova,horeca
135,Alpro Barista Almond 1L,Belgium,1LTRx08PCS,CRTN,Water & Beverages,Plant Milk,Alpro,horeca
136,Alpro Barista Oats 1L,Belgium,1LTRx08PCS,CRTN,Water & Beverages,Plant Milk,Alpro,horeca
137,Alpro Barista Coconut 1L,Belgium,1LTRx12PCS,CRTN,Water & Beverages,Plant Milk,Alpro,horeca
138,Alpro Barista Soya Professional 1L,Belgium,1LTRx12PCS,CRTN,Water & Beverages,Plant Milk,Alpro,horeca
139,Oatly Original Barista Edition Oats Drink 1L,Netherlands,1LTRx06PCS,CRTN,Water & Beverages,Plant Milk,Oatly,horeca
140,Oatly No Sugars Oat Drink 1L,Netherlands,1LTRx06PCS,CRTN,Water & Beverages,Plant Milk,Oatly,horeca
141,Oatly Organic Oat Drink 1L,Netherlands,1LTRx06PCS,CRTN,Water & Beverages,Plant Milk,Oatly,horeca
142,RealLemon Lemon Juice 500ml,Belgium,500MLx12PCS,BOX,Spreads & Condiments,Sauces,RealLemon,
143,Delicio Chili Garlic Sauce 150ml,Oman,150MLx12PCS,BOX,Spreads & Condiments,Sauces,Delicio,
144,Kellogg's Corn Flakes 750g,United Kingdom,750GM*12PCS,BOX,Breakfast & Biscuits,Cereals,Kellogg's,bestseller
145,Kellogg's Granola Classic Oats Cluster 600g,Poland,600GM*10PCS,BOX,Breakfast & Biscuits,Cereals,Kellogg's,
146,Quaker White Oats 500g Pouch,United Kingdom,500GM*20PCS,PCH,Breakfast & Biscuits,Cereals,Quaker,
147,Quaker White Oats 500g Tin,United Kingdom,500GM*20PCS,TIN,Breakfast & Biscuits,Cereals,Quaker,
148,Bayara Cardamom Powder 125g,Oman,125GM*10PCS,BTL,Spices & Nuts,Spices,Bayara,
149,Loacker Tortina Chocolate Wafer 126g,Italy,126GM*5PCS,PCS,Snacks & Confectionery,Biscuits & Wafers,Loacker,
150,Oreo Original Biscuit,Bahrain,Value pack XXL,BOX,Snacks & Confectionery,Biscuits & Wafers,Oreo,bestseller
151,Ritz Original Crackers 39.6g,USA,39.6GM*12PCS,BOX,Snacks & Confectionery,Biscuits & Wafers,Ritz,
152,McVitie's Digestive Original 500g,United Kingdom,500GM*20PCS,BOX,Breakfast & Biscuits,Biscuits,McVitie's,
153,McVitie's Digestive Light 500g,United Kingdom,500GM*20PCS,BOX,Breakfast & Biscuits,Biscuits,McVitie's,
154,Lotus Biscoff Biscuits 250g,Belgium,250GM*10PCS,BOX,Snacks & Confectionery,Biscuits & Wafers,Lotus Biscoff,
155,Nutella Ferrero Biscuits 166g,Germany,166GM*24PCS,PCS,Snacks & Confectionery,Biscuits & Wafers,Nutella,
156,QFM Patent Flour All Purpose 1kg,Qatar,1KG*10PCS,OTR,Sugar & Essentials,Flour,QFM,local
157,QFM Patent Flour All Purpose 5kg,Qatar,5KG*2PCS,OTR,Sugar & Essentials,Flour,QFM,local
158,Foster Clark's Corn Flour 400g,United States,400GM*12PCS,BOX,Sugar & Essentials,Baking & Coating,Foster Clark's,
159,Foster Clark's Baking Powder 450g,Malta,450GM*12PCS,BOX,Sugar & Essentials,Baking & Coating,Foster Clark's,
160,Foster Clark's Vanilla Essence 28ml,Malta,28ML*72PCS,BOX,Sugar & Essentials,Baking & Coating,Foster Clark's,
161,Kinder Schoko Bons Crispy T16 89g,Germany,89GM*22PCS,BOX,Snacks & Confectionery,Chocolate,Kinder,
162,Kinder Chocolate Maxi Bar 21g,United Kingdom,21GM*36PCS,OTR,Snacks & Confectionery,Chocolate,Kinder,
163,Kinder Bueno Wafer 43g,Italy,43GM*30PCS,OTR,Snacks & Confectionery,Chocolate,Kinder,
164,Kinder Chocolate 100g,Germany,100GM*10PCS,OTR,Snacks & Confectionery,Chocolate,Kinder,
165,Cadbury Flake Dipped Bar 32g,Egypt,32GM*12PCS,OTR,Snacks & Confectionery,Chocolate,Cadbury,
166,Ferrero Rocher Praline Speciality 300g,Italy,300GM*1PCS,PCS,Snacks & Confectionery,Chocolate,Ferrero,
167,Galaxy Milk Chocolate 80g,United Kingdom,80GM*15PCS,OTR,Snacks & Confectionery,Chocolate,Galaxy,
168,Zaini Milk Chocolate Egg MotoGP 20g,Italy,20GM*3PCS,OTR,Snacks & Confectionery,Chocolate,Zaini,
169,Nestle KitKat 4 Finger Chocolate 36.5g,United Kingdom,36.5GM*24PCS,BOX,Snacks & Confectionery,Chocolate,Nestle,
170,Frozen Alphonso Mango Pulp 1kg,India,1KG*10PCS,PCS,Spreads & Condiments,Frozen Pulp,ARCO Food Service,
171,Frozen Strawberry Pulp 1kg,China,1KG*1PCS,PCS,Spreads & Condiments,Frozen Pulp,ARCO Food Service,
172,Lipton Tea Bags Yellow Label 100pcs Sachets 200g,UAE,200GM*12PCS,OTR,Tea & Coffee,Tea,Lipton,bestseller
173,Hi Tea Black Tea Powder 900g,India / Sri Lanka,900GM*1PCS,PCS,Tea & Coffee,Tea,Hi Tea,
174,Lipton Tea Bags Yellow Label 25pcs Sachets 50g,UAE,50GM*24PCS,OTR,Tea & Coffee,Tea,Lipton,
